N,ARRAYavg,BSTavg,HASHavg
1,1e-06,3e-06,1e-06
2,2e-06,1.15e-05,1.5e-06
3,2.33333e-06,8.66667e-06,1.33333e-06
4,2.25e-06,7.25e-06,1.25e-06
5,2e-06,6e-06,1.2e-06
6,1.83333e-06,5.33333e-06,1.16667e-06
7,1.71429e-06,4.71429e-06,1.14286e-06
8,1.625e-06,4.25e-06,1e-06
9,1.55556e-06,3.88889e-06,1e-06
10,1.6e-06,3.6e-06,1e-06
11,1.54545e-06,3.36364e-06,1e-06
12,1.5e-06,3.16667e-06,9.16667e-07
13,1.46154e-06,3.53846e-06,8.46154e-07
14,1.35714e-06,3.35714e-06,8.57143e-07
15,1.33333e-06,3.2e-06,8e-07
16,1.3125e-06,3.0625e-06,8.125e-07
17,1.29412e-06,2.94118e-06,7.64706e-07
18,1.33333e-06,2.88889e-06,7.77778e-07
19,1.31579e-06,2.78947e-06,7.89474e-07
20,1.3e-06,2.65e-06,8e-07
21,1.28571e-06,2.57143e-06,7.61905e-07
22,1.27273e-06,2.5e-06,7.72727e-07
23,1.26087e-06,2.43478e-06,7.3913e-07
24,1.25e-06,2.375e-06,7.5e-07
25,1.24e-06,2.32e-06,7.2e-07
26,1.23077e-06,2.26923e-06,7.30769e-07
27,1.22222e-06,2.22222e-06,7.03704e-07
28,1.21429e-06,2.14286e-06,6.78571e-07
29,1.2069e-06,2.10345e-06,6.89655e-07
30,1.2e-06,2.06667e-06,6.66667e-07
31,1.19355e-06,2e-06,6.77419e-07
32,1.1875e-06,1.96875e-06,6.5625e-07
33,1.21212e-06,1.93939e-06,6.66667e-07
34,1.67647e-06,2.32353e-06,6.76471e-07
35,1.65714e-06,2.28571e-06,6.57143e-07
36,1.63889e-06,2.25e-06,6.66667e-07
37,1.62162e-06,2.18919e-06,6.48649e-07
38,1.63158e-06,2.15789e-06,6.57895e-07
39,1.61538e-06,2.12821e-06,6.41026e-07
40,1.6e-06,2.1e-06,6.5e-07
41,1.58537e-06,2.07317e-06,6.34146e-07
42,1.59524e-06,2.02381e-06,6.42857e-07
43,1.5814e-06,2e-06,6.27907e-07
44,1.56818e-06,1.97727e-06,6.36364e-07
45,1.55556e-06,1.95556e-06,6.22222e-07
46,1.56522e-06,1.91304e-06,6.30435e-07
47,1.55319e-06,1.89362e-06,6.17021e-07
48,1.54167e-06,1.875e-06,6.04167e-07
49,1.55102e-06,1.83673e-06,6.12245e-07
50,1.54e-06,1.82e-06,6e-07
51,1.52941e-06,1.80392e-06,6.07843e-07
52,1.53846e-06,1.76923e-06,5.96154e-07
53,1.5283e-06,1.75472e-06,6.03774e-07
54,1.51852e-06,1.74074e-06,5.92593e-07
55,1.52727e-06,1.72727e-06,6e-07
56,1.51786e-06,1.71429e-06,5.89286e-07
57,1.52632e-06,1.68421e-06,5.78947e-07
58,1.51724e-06,1.67241e-06,5.86207e-07
59,1.52542e-06,1.66102e-06,5.76271e-07
60,1.51667e-06,1.63333e-06,5.83333e-07
61,1.52459e-06,1.62295e-06,5.7377e-07
62,1.51613e-06,1.59677e-06,5.80645e-07
63,1.52381e-06,1.5873e-06,5.71429e-07
64,1.51562e-06,1.57813e-06,5.78125e-07
65,1.52308e-06,1.56923e-06,5.69231e-07
66,1.5303e-06,1.56061e-06,5.75758e-07
67,1.53731e-06,1.55224e-06,5.8209e-07
68,1.54412e-06,1.52941e-06,5.73529e-07
69,1.53623e-06,1.52174e-06,5.7971e-07
70,1.54286e-06,1.51429e-06,5.71429e-07
71,1.5493e-06,1.49296e-06,5.6338e-07
72,1.54167e-06,1.48611e-06,5.69444e-07
73,1.54795e-06,1.47945e-06,5.61644e-07
74,1.55405e-06,1.45946e-06,5.67568e-07
75,1.56e-06,1.45333e-06,5.6e-07
76,1.55263e-06,1.44737e-06,5.65789e-07
77,1.55844e-06,1.42857e-06,5.58442e-07
78,1.5641e-06,1.42308e-06,5.64103e-07
79,1.56962e-06,1.40506e-06,5.56962e-07
80,1.5625e-06,1.4e-06,5.625e-07
81,1.5679e-06,1.39506e-06,5.55556e-07
82,1.57317e-06,1.39024e-06,5.60976e-07
83,1.57831e-06,1.37349e-06,5.54217e-07
84,1.58333e-06,1.36905e-06,5.47619e-07
85,1.58824e-06,1.36471e-06,5.52941e-07
86,1.5814e-06,1.34884e-06,5.46512e-07
87,1.58621e-06,1.34483e-06,5.51724e-07
88,1.59091e-06,1.32955e-06,5.45455e-07
89,1.59551e-06,1.33708e-06,5.50562e-07
90,1.6e-06,1.32222e-06,5.44444e-07
91,1.6044e-06,1.31868e-06,5.49451e-07
92,1.6087e-06,1.31522e-06,5.43478e-07
93,1.6129e-06,1.30108e-06,5.48387e-07
94,1.61702e-06,1.29787e-06,5.42553e-07
95,1.62105e-06,1.28421e-06,5.36842e-07
96,1.625e-06,1.28125e-06,5.41667e-07
97,1.62887e-06,1.27835e-06,5.36082e-07
98,1.62245e-06,1.26531e-06,5.40816e-07
99,1.62626e-06,1.26263e-06,5.35354e-07
100,1.63e-06,1.25e-06,5.4e-07
101,1.63366e-06,1.24752e-06,5.34653e-07
102,1.63725e-06,1.2451e-06,5.39216e-07
103,1.64078e-06,1.23301e-06,5.33981e-07
104,1.64423e-06,1.23077e-06,5.38462e-07
105,1.64762e-06,1.21905e-06,5.33333e-07
106,1.65094e-06,1.21698e-06,5.28302e-07
107,1.66355e-06,1.21495e-06,5.3271e-07
108,1.66667e-06,1.21296e-06,5.27778e-07
109,1.66972e-06,1.20183e-06,5.3211e-07
110,1.68182e-06,1.2e-06,5.27273e-07
111,1.68468e-06,1.18919e-06,5.31532e-07
112,1.6875e-06,1.1875e-06,5.26786e-07
113,1.69912e-06,1.18584e-06,5.30973e-07
114,1.70175e-06,1.17544e-06,5.26316e-07
115,1.70435e-06,1.17391e-06,5.30435e-07
116,1.71552e-06,1.17241e-06,5.25862e-07
117,1.71795e-06,1.16239e-06,5.21368e-07
118,1.72881e-06,1.16102e-06,5.25424e-07
119,1.73109e-06,1.15126e-06,5.21008e-07
120,1.74167e-06,1.15e-06,5.25e-07
121,1.7438e-06,1.14876e-06,5.20661e-07
122,1.7541e-06,1.13934e-06,5.2459e-07
123,1.7561e-06,1.13821e-06,5.20325e-07
124,1.76613e-06,1.12903e-06,5.16129e-07
125,1.768e-06,1.128e-06,5.2e-07
126,1.77778e-06,1.12698e-06,5.15873e-07
127,1.77953e-06,1.11811e-06,5.19685e-07
128,1.78906e-06,1.11719e-06,5.15625e-07
129,1.7907e-06,1.11628e-06,5.1938e-07
130,1.86923e-06,1.14615e-06,5.23077e-07
131,1.87786e-06,1.1374e-06,5.19084e-07
132,1.87879e-06,1.13636e-06,5.22727e-07
133,1.88722e-06,1.13534e-06,5.18797e-07
134,1.89552e-06,1.12687e-06,5.22388e-07
135,1.9037e-06,1.12593e-06,5.18519e-07
136,1.91176e-06,1.11765e-06,5.22059e-07
137,1.91241e-06,1.11679e-06,5.18248e-07
138,1.92029e-06,1.11594e-06,5.14493e-07
139,1.92806e-06,1.10791e-06,5.17986e-07
140,1.92857e-06,1.10714e-06,5.14286e-07
141,1.93617e-06,1.09929e-06,5.1773e-07
142,1.94366e-06,1.09859e-06,5.14085e-07
143,1.94406e-06,1.0979e-06,5.17483e-07
144,1.95139e-06,1.09028e-06,5.13889e-07
145,1.95862e-06,1.08966e-06,5.10345e-07
146,1.9589e-06,1.08219e-06,5.13699e-07
147,1.96599e-06,1.08163e-06,5.10204e-07
148,1.97297e-06,1.08108e-06,5.13514e-07
149,1.97315e-06,1.07383e-06,5.10067e-07
150,1.98e-06,1.07333e-06,5.13333e-07
151,1.98675e-06,1.06623e-06,5.09934e-07
152,1.99342e-06,1.06579e-06,5.13158e-07
153,2e-06,1.06536e-06,5.09804e-07
154,2e-06,1.05844e-06,5.06494e-07
155,2.00645e-06,1.05806e-06,5.09677e-07
156,2.01282e-06,1.05769e-06,5.0641e-07
157,2.01911e-06,1.05096e-06,5.09554e-07
158,2.02532e-06,1.05063e-06,5.06329e-07
159,2.02516e-06,1.04403e-06,5.09434e-07
160,2.03125e-06,1.04375e-06,5.0625e-07
161,2.03727e-06,1.04348e-06,5.03106e-07
162,2.04321e-06,1.03704e-06,5.06173e-07
163,2.04294e-06,1.03681e-06,5.03067e-07
164,2.04878e-06,1.03659e-06,5.06098e-07
165,2.06061e-06,1.0303e-06,5.0303e-07
166,2.06024e-06,1.03012e-06,5.06024e-07
167,2.06587e-06,1.02395e-06,5.02994e-07
168,2.07143e-06,1.02381e-06,5e-07
169,2.07692e-06,1.02367e-06,5.02959e-07
170,2.08235e-06,1.01765e-06,5e-07
171,2.08772e-06,1.01754e-06,5.02924e-07
172,2.08721e-06,1.01163e-06,5e-07
173,2.09249e-06,1.01156e-06,5.0289e-07
174,2.0977e-06,1.01149e-06,5e-07
175,2.10286e-06,1.00571e-06,4.97143e-07
176,2.10795e-06,1.00568e-06,5e-07
177,2.11299e-06,1e-06,4.97175e-07
178,2.11236e-06,1e-06,5e-07
179,2.11732e-06,9.94413e-07,4.97207e-07
180,2.12222e-06,9.94444e-07,5e-07
181,2.12707e-06,9.94475e-07,4.97238e-07
182,2.13187e-06,9.89011e-07,4.94505e-07
183,2.13661e-06,9.89071e-07,4.97268e-07
184,2.1413e-06,9.8913e-07,4.94565e-07
185,2.14595e-06,9.83784e-07,4.97297e-07
186,2.15591e-06,9.83871e-07,4.94624e-07
187,2.16043e-06,9.7861e-07,4.97326e-07
188,2.16489e-06,9.78723e-07,4.94681e-07
189,2.16931e-06,9.73545e-07,4.92063e-07
190,2.17368e-06,9.73684e-07,4.94737e-07
191,2.18325e-06,9.73822e-07,4.92147e-07
192,2.1875e-06,9.6875e-07,4.94792e-07
193,2.19171e-06,9.68912e-07,4.92228e-07
194,2.19588e-06,9.63918e-07,4.94845e-07
195,2.20513e-06,9.64103e-07,4.92308e-07
196,2.20918e-06,9.64286e-07,4.94898e-07
197,2.2132e-06,9.59391e-07,4.92386e-07
198,2.22222e-06,9.59596e-07,4.89899e-07
199,2.22613e-06,9.59799e-07,4.92462e-07
200,2.23e-06,9.55e-07,4.9e-07
201,2.23881e-06,9.55224e-07,4.92537e-07
202,2.24257e-06,9.50495e-07,4.90099e-07
203,2.24631e-06,9.50739e-07,4.92611e-07
204,2.25e-06,9.5098e-07,4.90196e-07
205,2.25366e-06,9.46341e-07,4.92683e-07
206,2.25243e-06,9.46602e-07,4.90291e-07
207,2.25604e-06,9.4686e-07,4.87923e-07
208,2.25962e-06,9.42308e-07,4.90385e-07
209,2.25837e-06,9.42584e-07,4.88038e-07
210,2.2619e-06,9.38095e-07,4.90476e-07
211,2.2654e-06,9.38389e-07,4.88152e-07
212,2.26415e-06,9.38679e-07,4.90566e-07
213,2.26761e-06,9.34272e-07,4.88263e-07
214,2.27103e-06,9.34579e-07,4.90654e-07
215,2.26977e-06,9.34884e-07,4.88372e-07
216,2.27315e-06,9.30556e-07,4.86111e-07
217,2.2765e-06,9.30876e-07,4.88479e-07
218,2.27982e-06,9.31193e-07,4.86239e-07
219,2.27854e-06,9.26941e-07,4.88584e-07
220,2.28182e-06,9.27273e-07,4.86364e-07
221,2.28507e-06,9.27602e-07,4.88688e-07
222,2.28829e-06,9.23423e-07,4.86486e-07
223,2.287e-06,9.23767e-07,4.88789e-07
224,2.29018e-06,9.24107e-07,4.86607e-07
225,2.29778e-06,9.2e-07,4.84444e-07
226,2.30088e-06,9.20354e-07,4.86726e-07
227,2.30837e-06,9.20705e-07,4.84581e-07
228,2.45175e-06,9.16667e-07,4.86842e-07
229,2.53275e-06,9.17031e-07,4.84716e-07
230,2.53478e-06,9.13043e-07,4.86957e-07
231,2.53247e-06,9.1342e-07,4.84848e-07
232,2.53448e-06,9.13793e-07,4.82759e-07
233,2.53648e-06,9.14163e-07,4.84979e-07
234,2.53846e-06,9.10256e-07,4.82906e-07
235,2.54043e-06,9.10638e-07,4.85106e-07
236,2.54237e-06,9.0678e-07,4.83051e-07
237,2.5443e-06,9.07173e-07,4.85232e-07
238,2.54202e-06,9.07563e-07,4.83193e-07
239,2.54393e-06,9.03766e-07,4.85356e-07
240,2.54583e-06,9.04167e-07,4.83333e-07
241,2.54772e-06,9.00415e-07,4.81328e-07
242,2.54959e-06,9.00826e-07,4.83471e-07
243,2.55144e-06,9.01235e-07,4.81481e-07
244,2.55328e-06,8.97541e-07,4.83607e-07
245,2.5551e-06,8.97959e-07,4.81633e-07
246,2.55691e-06,8.94309e-07,4.8374e-07
247,2.5587e-06,8.94737e-07,4.81781e-07
248,2.56048e-06,8.95161e-07,4.83871e-07
249,2.56225e-06,8.91566e-07,4.81928e-07
250,2.564e-06,8.92e-07,4.84e-07
251,2.56574e-06,8.88446e-07,4.82072e-07
252,2.56746e-06,8.88889e-07,4.80159e-07
253,2.56917e-06,8.89328e-07,4.82213e-07
254,2.57087e-06,8.85827e-07,4.80315e-07
255,2.57255e-06,8.86275e-07,4.82353e-07
256,2.57422e-06,8.86719e-07,4.80469e-07
257,2.57588e-06,8.83268e-07,4.8249e-07
258,2.61628e-06,8.99225e-07,4.84496e-07
259,2.62162e-06,8.95753e-07,4.82625e-07
260,2.62308e-06,8.96154e-07,4.84615e-07
261,2.62452e-06,8.96552e-07,4.82759e-07
262,2.62595e-06,8.9313e-07,4.84733e-07
263,2.62738e-06,8.93536e-07,4.8289e-07
264,2.62879e-06,8.93939e-07,4.81061e-07
265,2.63396e-06,8.90566e-07,4.83019e-07
266,2.63534e-06,8.90977e-07,4.81203e-07
267,2.6367e-06,8.91386e-07,4.83146e-07
268,2.63806e-06,8.8806e-07,4.81343e-07
269,2.63941e-06,8.88476e-07,4.83271e-07
270,2.64444e-06,8.88889e-07,4.81481e-07
271,2.64576e-06,8.85609e-07,4.83395e-07
272,2.64706e-06,8.86029e-07,4.81618e-07
273,2.64835e-06,8.82784e-07,4.79853e-07
274,2.64964e-06,8.83212e-07,4.81752e-07
275,2.65455e-06,8.83636e-07,4.8e-07
276,2.6558e-06,8.80435e-07,4.81884e-07
277,2.65704e-06,8.80866e-07,4.80144e-07
278,2.66187e-06,8.77698e-07,4.82014e-07
279,2.66308e-06,8.78136e-07,4.80287e-07
280,2.66429e-06,8.78571e-07,4.78571e-07
281,2.66548e-06,8.75445e-07,4.80427e-07
282,2.67021e-06,8.75887e-07,4.78723e-07
283,2.67138e-06,8.76325e-07,4.80565e-07
284,2.67254e-06,8.73239e-07,4.78873e-07
285,2.67719e-06,8.73684e-07,4.80702e-07
286,2.67832e-06,8.70629e-07,4.79021e-07
287,2.67944e-06,8.7108e-07,4.80836e-07
288,2.68403e-06,8.71528e-07,4.79167e-07
289,2.68512e-06,8.68512e-07,4.80969e-07
290,2.68966e-06,8.75862e-07,4.7931e-07
291,2.69072e-06,8.76289e-07,4.77663e-07
292,2.69521e-06,8.76712e-07,4.79452e-07
293,2.69625e-06,8.7372e-07,4.77816e-07
294,2.69728e-06,8.7415e-07,4.79592e-07
295,2.70169e-06,8.71186e-07,4.77966e-07
296,2.7027e-06,8.71622e-07,4.7973e-07
297,2.70707e-06,8.72054e-07,4.78114e-07
298,2.70805e-06,8.69128e-07,4.79866e-07
299,2.71237e-06,8.69565e-07,4.78261e-07
300,2.71333e-06,8.7e-07,4.76667e-07
301,2.71761e-06,8.6711e-07,4.78405e-07
302,2.71854e-06,8.6755e-07,4.76821e-07
303,2.72277e-06,8.64686e-07,4.78548e-07
304,2.72697e-06,8.65132e-07,4.76974e-07
305,2.72787e-06,8.62295e-07,4.78689e-07
306,2.73203e-06,8.62745e-07,4.77124e-07
307,2.7329e-06,8.63192e-07,4.78827e-07
308,2.73701e-06,8.6039e-07,4.77273e-07
309,2.7411e-06,8.60841e-07,4.75728e-07
310,2.74194e-06,8.6129e-07,4.77419e-07
311,2.74598e-06,8.58521e-07,4.75884e-07
312,2.75e-06,8.58974e-07,4.77564e-07
313,2.7508e-06,8.59425e-07,4.76038e-07
314,2.75478e-06,8.56688e-07,4.77707e-07
315,2.75873e-06,8.57143e-07,4.7619e-07
316,2.75949e-06,8.5443e-07,4.77848e-07
317,2.76341e-06,8.5489e-07,4.76341e-07
318,2.7673e-06,8.55346e-07,4.74843e-07
319,2.76803e-06,8.52665e-07,4.76489e-07
320,2.77188e-06,8.53125e-07,4.75e-07
321,2.7757e-06,8.50467e-07,4.76636e-07
322,2.7795e-06,8.50932e-07,4.75155e-07
323,2.78019e-06,8.51393e-07,4.7678e-07
324,2.78395e-06,8.48765e-07,4.75309e-07
325,2.78769e-06,8.49231e-07,4.76923e-07
326,2.79141e-06,8.49693e-07,4.7546e-07
327,2.79511e-06,8.47095e-07,4.74006e-07
328,2.79878e-06,8.47561e-07,4.7561e-07
329,2.79939e-06,8.48024e-07,4.74164e-07
330,2.80303e-06,8.48485e-07,4.75758e-07
331,2.80665e-06,8.45921e-07,4.7432e-07
332,2.81024e-06,8.46386e-07,4.75904e-07
333,2.81381e-06,8.46847e-07,4.74474e-07
334,2.81737e-06,8.44311e-07,4.73054e-07
335,2.8209e-06,8.44776e-07,4.74627e-07
336,2.8244e-06,8.42262e-07,4.73214e-07
337,2.82789e-06,8.4273e-07,4.74777e-07
338,2.83136e-06,8.43195e-07,4.73373e-07
339,2.83186e-06,8.40708e-07,4.74926e-07
340,2.83529e-06,8.41176e-07,4.73529e-07
341,2.83871e-06,8.3871e-07,4.75073e-07
342,2.84211e-06,8.39181e-07,4.73684e-07
343,2.84548e-06,8.3965e-07,4.72303e-07
344,2.84884e-06,8.37209e-07,4.73837e-07
345,2.85217e-06,8.37681e-07,4.72464e-07
346,2.85549e-06,8.3815e-07,4.73988e-07
347,2.85879e-06,8.35735e-07,4.72622e-07
348,2.86494e-06,8.36207e-07,4.74138e-07
349,2.86819e-06,8.33811e-07,4.72779e-07
350,2.87143e-06,8.34286e-07,4.74286e-07
351,2.87464e-06,8.34758e-07,4.72934e-07
352,2.87784e-06,8.32386e-07,4.71591e-07
353,2.88102e-06,8.32861e-07,4.73088e-07
354,2.88418e-06,8.30508e-07,4.71751e-07
355,2.88732e-06,8.30986e-07,4.73239e-07
356,2.89045e-06,8.31461e-07,4.7191e-07
357,2.89636e-06,8.29132e-07,4.73389e-07
358,2.89944e-06,8.29609e-07,4.72067e-07
359,2.90251e-06,8.27298e-07,4.70752e-07
360,2.90556e-06,8.27778e-07,4.72222e-07
361,2.91967e-06,8.28255e-07,4.70914e-07
362,2.92265e-06,8.25967e-07,4.72376e-07
363,2.92562e-06,8.26446e-07,4.71074e-07
364,2.92857e-06,8.26923e-07,4.72527e-07
365,2.93151e-06,8.24658e-07,4.71233e-07
366,2.93716e-06,8.25137e-07,4.72678e-07
367,2.94005e-06,8.22888e-07,4.7139e-07
368,2.94293e-06,8.2337e-07,4.70109e-07
369,2.9458e-06,8.21138e-07,4.71545e-07
370,2.95135e-06,8.21622e-07,4.7027e-07
371,2.95418e-06,8.22102e-07,4.71698e-07
372,2.95699e-06,8.19892e-07,4.7043e-07
373,2.96247e-06,8.20375e-07,4.7185e-07
374,2.96524e-06,8.20856e-07,4.70588e-07
375,2.968e-06,8.18667e-07,4.72e-07
376,2.9734e-06,8.19149e-07,4.70745e-07
377,2.97613e-06,8.16976e-07,4.69496e-07
378,2.97884e-06,8.1746e-07,4.70899e-07
379,2.98417e-06,8.17942e-07,4.69657e-07
380,2.98684e-06,8.15789e-07,4.71053e-07
381,2.9895e-06,8.16273e-07,4.69816e-07
382,2.99476e-06,8.16754e-07,4.71204e-07
383,2.99739e-06,8.14621e-07,4.69974e-07
384,3.0026e-06,8.15104e-07,4.6875e-07
385,3.00519e-06,8.12987e-07,4.7013e-07
386,3.01036e-06,8.13472e-07,4.68912e-07
387,3.01292e-06,8.13953e-07,4.70284e-07
388,3.01804e-06,8.11856e-07,4.69072e-07
389,3.02057e-06,8.12339e-07,4.70437e-07
390,3.02564e-06,8.12821e-07,4.69231e-07
391,3.02813e-06,8.10742e-07,4.70588e-07
392,3.03316e-06,8.11224e-07,4.69388e-07
393,3.03562e-06,8.0916e-07,4.68193e-07
394,3.04061e-06,8.09645e-07,4.69543e-07
395,3.04304e-06,8.10127e-07,4.68354e-07
396,3.04798e-06,8.08081e-07,4.69697e-07
397,3.05038e-06,8.08564e-07,4.68514e-07
398,3.05528e-06,8.09045e-07,4.69849e-07
399,3.05764e-06,8.07018e-07,4.68672e-07
400,3.0625e-06,8.075e-07,4.675e-07
401,3.06733e-06,8.0798e-07,4.68828e-07
402,3.06965e-06,8.0597e-07,4.67662e-07
403,3.07444e-06,8.06452e-07,4.68983e-07
404,3.07921e-06,8.04455e-07,4.67822e-07
405,3.08148e-06,8.04938e-07,4.69136e-07
406,3.08621e-06,8.05419e-07,4.6798e-07
407,3.09091e-06,8.0344e-07,4.6683e-07
408,3.09314e-06,8.03922e-07,4.68137e-07
409,3.0978e-06,8.01956e-07,4.66993e-07
410,3.10244e-06,8.02439e-07,4.68293e-07
411,3.10462e-06,8.0292e-07,4.67153e-07
412,3.10922e-06,8.00971e-07,4.68447e-07
413,3.1138e-06,8.01453e-07,4.67312e-07
414,3.11836e-06,7.99517e-07,4.68599e-07
415,3.12048e-06,8e-07,4.6747e-07
416,3.125e-06,8.00481e-07,4.66346e-07
417,3.1295e-06,7.98561e-07,4.67626e-07
418,3.13397e-06,7.99043e-07,4.66507e-07
419,3.13842e-06,7.99523e-07,4.6778e-07
420,3.14286e-06,7.97619e-07,4.66667e-07
421,3.14489e-06,7.981e-07,4.67933e-07
422,3.14929e-06,7.96209e-07,4.66825e-07
423,3.15366e-06,7.9669e-07,4.65721e-07
424,3.17925e-06,7.94811e-07,4.66981e-07
425,3.18118e-06,7.95294e-07,4.65882e-07
426,3.18545e-06,7.95775e-07,4.67136e-07
427,3.1897e-06,7.93911e-07,4.66042e-07
428,3.19393e-06,7.94393e-07,4.6729e-07
429,3.19814e-06,7.92541e-07,4.662e-07
430,3.20233e-06,7.93023e-07,4.67442e-07
431,3.2065e-06,7.93503e-07,4.66357e-07
432,3.21065e-06,7.91667e-07,4.67593e-07
433,3.21478e-06,7.92148e-07,4.66513e-07
434,3.21889e-06,7.90323e-07,4.65438e-07
435,3.22299e-06,7.90805e-07,4.66667e-07
436,3.22706e-06,7.91284e-07,4.65596e-07
437,3.23112e-06,7.89474e-07,4.66819e-07
438,3.23516e-06,7.89954e-07,4.65753e-07
439,3.23918e-06,7.90433e-07,4.6697e-07
440,3.24318e-06,7.88636e-07,4.65909e-07
441,3.24717e-06,7.89116e-07,4.64853e-07
442,3.25339e-06,7.8733e-07,4.66063e-07
443,3.25734e-06,7.8781e-07,4.65011e-07
444,3.26126e-06,7.88288e-07,4.66216e-07
445,3.26517e-06,7.86517e-07,4.65169e-07
446,3.26906e-06,7.86996e-07,4.66368e-07
447,3.27293e-06,7.87472e-07,4.65324e-07
448,3.27679e-06,7.85714e-07,4.64286e-07
449,3.28062e-06,7.86192e-07,4.65479e-07
450,3.29333e-06,7.86667e-07,4.64444e-07
451,3.29712e-06,7.84922e-07,4.65632e-07
452,3.3031e-06,7.85398e-07,4.64602e-07
453,3.30684e-06,7.85872e-07,4.65784e-07
454,3.31057e-06,7.84141e-07,4.64758e-07
455,3.31429e-06,7.84615e-07,4.65934e-07
456,3.31798e-06,7.85088e-07,4.64912e-07
457,3.32166e-06,7.8337e-07,4.63895e-07
458,3.32751e-06,7.83843e-07,4.65066e-07
459,3.33115e-06,7.84314e-07,4.64052e-07
460,3.33478e-06,7.82609e-07,4.65217e-07
461,3.33839e-06,7.8308e-07,4.64208e-07
462,3.34416e-06,7.81385e-07,4.65368e-07
463,3.34773e-06,7.81857e-07,4.64363e-07
464,3.35129e-06,7.82328e-07,4.65517e-07
465,3.35699e-06,7.82796e-07,4.64516e-07
466,3.36052e-06,7.81116e-07,4.63519e-07
467,3.36403e-06,7.81585e-07,4.64668e-07
468,3.36966e-06,7.82051e-07,4.63675e-07
469,3.37313e-06,7.80384e-07,4.64819e-07
470,3.3766e-06,7.80851e-07,4.6383e-07
471,3.38217e-06,7.81316e-07,4.64968e-07
472,3.38559e-06,7.79661e-07,4.63983e-07
473,3.38901e-06,7.80127e-07,4.63002e-07
474,3.39451e-06,7.80591e-07,4.64135e-07
475,3.39789e-06,7.78947e-07,4.63158e-07
476,3.40336e-06,7.79412e-07,4.64286e-07
477,3.40671e-06,7.79874e-07,4.63312e-07
478,3.41213e-06,7.78243e-07,4.64435e-07
479,3.41545e-06,7.78706e-07,4.63466e-07
480,3.41875e-06,7.79167e-07,4.64583e-07
481,3.42412e-06,7.77547e-07,4.63617e-07
482,3.42739e-06,7.78008e-07,4.62656e-07
483,3.43271e-06,7.78468e-07,4.63768e-07
484,3.43595e-06,7.7686e-07,4.6281e-07
485,3.44124e-06,7.7732e-07,4.63918e-07
486,3.4465e-06,7.7572e-07,4.62963e-07
487,3.44969e-06,7.76181e-07,4.64066e-07
488,3.45492e-06,7.76639e-07,4.63115e-07
489,3.45808e-06,7.75051e-07,4.62168e-07
490,3.46327e-06,7.7551e-07,4.63265e-07
491,3.46843e-06,7.75967e-07,4.62322e-07
492,3.47154e-06,7.7439e-07,4.63415e-07
493,3.47667e-06,7.74848e-07,4.62475e-07
494,3.47976e-06,7.75304e-07,4.63563e-07
495,3.48485e-06,7.73737e-07,4.62626e-07
496,3.48992e-06,7.74194e-07,4.61694e-07
497,3.49296e-06,7.72636e-07,4.62777e-07
498,3.49799e-06,7.73092e-07,4.61847e-07
499,3.50301e-06,7.73547e-07,4.62926e-07
500,3.506e-06,7.72e-07,4.62e-07
501,3.51098e-06,7.72455e-07,4.63074e-07
502,3.51594e-06,7.72908e-07,4.62151e-07
503,3.51889e-06,7.71372e-07,4.63221e-07
504,3.52381e-06,7.71825e-07,4.62302e-07
505,3.52871e-06,7.72277e-07,4.61386e-07
