N,ARRAYavg,BSTavg,HASHavg
506,3.5336e-06,7.70751e-07,4.62451e-07
507,3.53649e-06,7.71203e-07,4.61538e-07
508,3.54134e-06,7.71654e-07,4.62598e-07
509,3.54617e-06,7.70138e-07,4.6169e-07
510,3.55098e-06,7.70588e-07,4.62745e-07
511,3.55382e-06,7.71037e-07,4.6184e-07
512,3.60742e-06,7.69531e-07,4.62891e-07
513,3.61793e-06,7.69981e-07,4.61988e-07
514,3.67704e-06,7.80156e-07,4.74708e-07
515,3.68155e-06,7.80583e-07,4.75728e-07
516,3.76744e-06,7.81008e-07,4.74806e-07
517,3.81431e-06,7.79497e-07,4.75822e-07
518,3.85907e-06,7.79923e-07,4.74903e-07
519,3.88439e-06,7.80347e-07,4.75915e-07
520,3.88846e-06,7.78846e-07,4.75e-07
521,3.89251e-06,7.79271e-07,4.74088e-07
522,3.89655e-06,7.79693e-07,4.75096e-07
523,3.90057e-06,7.78203e-07,4.74187e-07
524,3.90458e-06,7.78626e-07,4.75191e-07
525,3.90857e-06,7.79048e-07,4.74286e-07
526,3.91445e-06,7.77567e-07,4.75285e-07
527,3.91841e-06,7.77989e-07,4.74383e-07
528,3.92235e-06,7.78409e-07,4.75379e-07
529,3.92628e-06,7.76938e-07,4.7448e-07
530,3.93019e-06,7.77358e-07,4.73585e-07
531,3.93409e-06,7.75895e-07,4.74576e-07
532,3.93797e-06,7.76316e-07,4.73684e-07
533,3.94371e-06,7.76735e-07,4.74672e-07
534,3.94757e-06,7.75281e-07,4.73783e-07
535,3.9514e-06,7.75701e-07,4.74766e-07
536,3.95522e-06,7.76119e-07,4.73881e-07
537,3.95903e-06,7.74674e-07,4.7486e-07
538,3.96283e-06,7.75093e-07,4.73978e-07
539,3.9666e-06,7.7551e-07,4.73098e-07
540,3.97222e-06,7.74074e-07,4.74074e-07
541,3.97597e-06,7.74492e-07,4.73198e-07
542,3.9797e-06,7.73063e-07,4.7417e-07
543,3.98343e-06,7.73481e-07,4.73297e-07
544,3.98713e-06,7.73897e-07,4.74265e-07
545,3.99266e-06,7.72477e-07,4.73394e-07
546,3.99634e-06,7.78388e-07,4.79853e-07
547,4e-06,7.76965e-07,4.78976e-07
548,4.00365e-06,7.77372e-07,4.78102e-07
549,4.00911e-06,7.77778e-07,4.79053e-07
550,4.01273e-06,7.78182e-07,4.78182e-07
551,4.01633e-06,7.7677e-07,4.79129e-07
552,4.02174e-06,7.77174e-07,4.78261e-07
553,4.02532e-06,7.77577e-07,4.79204e-07
554,4.02888e-06,7.76173e-07,4.78339e-07
555,4.03423e-06,7.76577e-07,4.79279e-07
556,4.03777e-06,7.76978e-07,4.78417e-07
557,4.04129e-06,7.75583e-07,4.77558e-07
558,4.04659e-06,7.75986e-07,4.78495e-07
559,4.05009e-06,7.76386e-07,4.77639e-07
560,4.05357e-06,7.75e-07,4.78571e-07
561,4.05882e-06,7.75401e-07,4.77718e-07
562,4.06228e-06,7.75801e-07,4.78648e-07
563,4.0675e-06,7.74423e-07,4.77798e-07
564,4.07092e-06,7.74823e-07,4.7695e-07
565,4.07611e-06,7.73451e-07,4.77876e-07
566,4.07951e-06,7.73852e-07,4.77032e-07
567,4.08289e-06,7.7425e-07,4.77954e-07
568,4.08803e-06,7.72887e-07,4.77113e-07
569,4.09139e-06,7.73286e-07,4.78032e-07
570,4.09649e-06,7.73684e-07,4.77193e-07
571,4.09982e-06,7.72329e-07,4.78109e-07
572,4.1049e-06,7.72727e-07,4.77273e-07
573,4.10995e-06,7.73124e-07,4.7644e-07
574,4.11324e-06,7.71777e-07,4.77352e-07
575,4.11826e-06,7.72174e-07,4.76522e-07
576,4.12153e-06,7.72569e-07,4.77431e-07
577,4.12652e-06,7.71231e-07,4.76603e-07
578,4.12976e-06,7.71626e-07,4.77509e-07
579,4.13472e-06,7.72021e-07,4.76684e-07
580,4.13966e-06,7.7069e-07,4.77586e-07
581,4.14286e-06,7.71084e-07,4.76764e-07
582,4.14777e-06,7.71478e-07,4.75945e-07
583,4.15266e-06,7.70154e-07,4.76844e-07
584,4.15582e-06,7.70548e-07,4.76027e-07
585,4.16068e-06,7.7094e-07,4.76923e-07
586,4.16553e-06,7.69625e-07,4.76109e-07
587,4.16865e-06,7.70017e-07,4.77002e-07
588,4.17347e-06,7.70408e-07,4.7619e-07
589,4.17827e-06,7.691e-07,4.75382e-07
590,4.18136e-06,7.69492e-07,4.76271e-07
591,4.18613e-06,7.69882e-07,4.75465e-07
592,4.19088e-06,7.68581e-07,4.76351e-07
593,4.19562e-06,7.68971e-07,4.75548e-07
594,4.19865e-06,7.6936e-07,4.76431e-07
595,4.20336e-06,7.68067e-07,4.7563e-07
596,4.20805e-06,7.68456e-07,4.7651e-07
597,4.21273e-06,7.68844e-07,4.75712e-07
598,4.21739e-06,7.67559e-07,4.74916e-07
599,4.22037e-06,7.67947e-07,4.75793e-07
600,4.225e-06,7.68333e-07,4.75e-07
601,4.22962e-06,7.67055e-07,4.75874e-07
602,4.23422e-06,7.67442e-07,4.75083e-07
603,4.23881e-06,7.66169e-07,4.75954e-07
604,4.24338e-06,7.66556e-07,4.75166e-07
605,4.24793e-06,7.66942e-07,4.76033e-07
606,4.25083e-06,7.67327e-07,4.75248e-07
607,4.25535e-06,7.66063e-07,4.74465e-07
608,4.25987e-06,7.66447e-07,4.75329e-07
609,4.26437e-06,7.66831e-07,4.74548e-07
610,4.26885e-06,7.65574e-07,4.7541e-07
611,4.27332e-06,7.65957e-07,4.74632e-07
612,4.29085e-06,7.64706e-07,4.7549e-07
613,4.29527e-06,7.6509e-07,4.74715e-07
614,4.29967e-06,7.65472e-07,4.73941e-07
615,4.30407e-06,7.64228e-07,4.74797e-07
616,4.30844e-06,7.6461e-07,4.74026e-07
617,4.3128e-06,7.64992e-07,4.74878e-07
618,4.31715e-06,7.63754e-07,4.7411e-07
619,4.3231e-06,7.64136e-07,4.7496e-07
620,4.32742e-06,7.64516e-07,4.74194e-07
621,4.33172e-06,7.63285e-07,4.7343e-07
622,4.33601e-06,7.63666e-07,4.74277e-07
623,4.34029e-06,7.64045e-07,4.73515e-07
624,4.34455e-06,7.62821e-07,4.74359e-07
625,4.3488e-06,7.632e-07,4.736e-07
626,4.35304e-06,7.63578e-07,4.74441e-07
627,4.35726e-06,7.6236e-07,4.73684e-07
628,4.36146e-06,7.62739e-07,4.74522e-07
629,4.36725e-06,7.63116e-07,4.73768e-07
630,4.37143e-06,7.61905e-07,4.73016e-07
631,4.37559e-06,7.62282e-07,4.73851e-07
632,4.37975e-06,7.61076e-07,4.73101e-07
633,4.38389e-06,7.61453e-07,4.73934e-07
634,4.38959e-06,7.6183e-07,4.73186e-07
635,4.3937e-06,7.6063e-07,4.74016e-07
636,4.3978e-06,7.61006e-07,4.7327e-07
637,4.40188e-06,7.61381e-07,4.72527e-07
638,4.40752e-06,7.60188e-07,4.73354e-07
639,4.41158e-06,7.60563e-07,4.72613e-07
640,4.41562e-06,7.60937e-07,4.73438e-07
641,4.41966e-06,7.5975e-07,4.72699e-07
642,4.42523e-06,7.60125e-07,4.7352e-07
643,4.42924e-06,7.60498e-07,4.72784e-07
644,4.43323e-06,7.6087e-07,4.73602e-07
645,4.43876e-06,7.5969e-07,4.72868e-07
646,4.44272e-06,7.60062e-07,4.72136e-07
647,4.44668e-06,7.58887e-07,4.72952e-07
648,4.45216e-06,7.59259e-07,4.72222e-07
649,4.45609e-06,7.5963e-07,4.73035e-07
650,4.46154e-06,7.58462e-07,4.72308e-07
651,4.46544e-06,7.58833e-07,4.73118e-07
652,4.46933e-06,7.59202e-07,4.72393e-07
653,4.47473e-06,7.5804e-07,4.71669e-07
654,4.47859e-06,7.5841e-07,4.72477e-07
655,4.48397e-06,7.58779e-07,4.71756e-07
656,4.4878e-06,7.57622e-07,4.72561e-07
657,4.49315e-06,7.57991e-07,4.71842e-07
658,4.49696e-06,7.58359e-07,4.72644e-07
659,4.50228e-06,7.57208e-07,4.71927e-07
660,4.50606e-06,7.57576e-07,4.72727e-07
661,4.51135e-06,7.57943e-07,4.72012e-07
662,4.51511e-06,7.56798e-07,4.71299e-07
663,4.52036e-06,7.57164e-07,4.72097e-07
664,4.5241e-06,7.5753e-07,4.71386e-07
665,4.52932e-06,7.56391e-07,4.7218e-07
666,4.53303e-06,7.56757e-07,4.71471e-07
667,4.53823e-06,7.57121e-07,4.72264e-07
668,4.54341e-06,7.55988e-07,4.71557e-07
669,4.54709e-06,7.56353e-07,4.70852e-07
670,4.55224e-06,7.56716e-07,4.71642e-07
671,4.55589e-06,7.55589e-07,4.70939e-07
672,4.56101e-06,7.55952e-07,4.71726e-07
673,4.56612e-06,7.54829e-07,4.71025e-07
674,4.56973e-06,7.55193e-07,4.7181e-07
675,4.57481e-06,7.55556e-07,4.71111e-07
676,4.57988e-06,7.54438e-07,4.70414e-07
677,4.58346e-06,7.54801e-07,4.71196e-07
678,4.5885e-06,7.55162e-07,4.70501e-07
679,4.59352e-06,7.5405e-07,4.71281e-07
680,4.59853e-06,7.54412e-07,4.70588e-07
681,4.60206e-06,7.54772e-07,4.71366e-07
682,4.60704e-06,7.53666e-07,4.70674e-07
683,4.61201e-06,7.54026e-07,4.71449e-07
684,4.6155e-06,7.54386e-07,4.7076e-07
685,4.62044e-06,7.53285e-07,4.70073e-07
686,4.62536e-06,7.53644e-07,4.70845e-07
687,4.63028e-06,7.54003e-07,4.7016e-07
688,4.63517e-06,7.52907e-07,4.7093e-07
689,4.63861e-06,7.53266e-07,4.70247e-07
690,4.64348e-06,7.53623e-07,4.71014e-07
691,4.64834e-06,7.52533e-07,4.70333e-07
692,4.65318e-06,7.5289e-07,4.71098e-07
693,4.65801e-06,7.53247e-07,4.70418e-07
694,4.66282e-06,7.52161e-07,4.69741e-07
695,4.66763e-06,7.52518e-07,4.70504e-07
696,4.67098e-06,7.52874e-07,4.69828e-07
697,4.67575e-06,7.51793e-07,4.70588e-07
698,4.68052e-06,7.52149e-07,4.69914e-07
699,4.68526e-06,7.51073e-07,4.70672e-07
700,4.69e-06,7.51429e-07,4.7e-07
701,4.69472e-06,7.51783e-07,4.6933e-07
702,4.69943e-06,7.50712e-07,4.70085e-07
703,4.70413e-06,7.51067e-07,4.69417e-07
704,4.70881e-06,7.5142e-07,4.7017e-07
705,4.71348e-06,7.51773e-07,4.69504e-07
706,4.71813e-06,7.50708e-07,4.70255e-07
707,4.72277e-06,7.51061e-07,4.6959e-07
708,4.7274e-06,7.5e-07,4.68927e-07
709,4.73202e-06,7.50353e-07,4.69676e-07
710,4.73662e-06,7.50704e-07,4.69014e-07
711,4.74121e-06,7.51055e-07,4.69761e-07
712,4.74579e-06,7.5e-07,4.69101e-07
713,4.75035e-06,7.50351e-07,4.69846e-07
714,4.7549e-06,7.493e-07,4.69188e-07
715,4.76084e-06,7.4965e-07,4.6993e-07
716,4.76536e-06,7.5e-07,4.69274e-07
717,4.76987e-06,7.50349e-07,4.70014e-07
718,4.77437e-06,7.49304e-07,4.69359e-07
719,4.77886e-06,7.49652e-07,4.68707e-07
720,4.78333e-06,7.5e-07,4.69444e-07
721,4.78779e-06,7.4896e-07,4.68793e-07
722,4.79224e-06,7.49307e-07,4.69529e-07
723,4.79806e-06,7.48271e-07,4.6888e-07
724,4.80249e-06,7.48619e-07,4.69613e-07
725,4.8069e-06,7.48966e-07,4.68966e-07
726,4.81129e-06,7.47934e-07,4.6832e-07
727,4.81568e-06,7.48281e-07,4.69051e-07
728,4.82143e-06,7.48626e-07,4.68407e-07
729,4.82579e-06,7.47599e-07,4.69136e-07
730,4.83014e-06,7.47945e-07,4.68493e-07
731,4.83584e-06,7.4829e-07,4.6922e-07
732,4.84016e-06,7.47268e-07,4.68579e-07
733,4.84447e-06,7.47613e-07,4.69304e-07
734,4.84877e-06,7.47956e-07,4.68665e-07
735,4.85442e-06,7.46939e-07,4.68027e-07
736,4.8587e-06,7.47283e-07,4.6875e-07
737,4.86296e-06,7.47626e-07,4.68114e-07
738,4.87669e-06,7.46612e-07,4.68835e-07
739,4.88227e-06,7.46955e-07,4.682e-07
740,4.88649e-06,7.47297e-07,4.68919e-07
741,4.89069e-06,7.46289e-07,4.68286e-07
742,4.89623e-06,7.46631e-07,4.67655e-07
743,4.9004e-06,7.46972e-07,4.68371e-07
744,4.90591e-06,7.45968e-07,4.67742e-07
745,4.91007e-06,7.46309e-07,4.68456e-07
746,4.91421e-06,7.46649e-07,4.67828e-07
747,4.91968e-06,7.45649e-07,4.68541e-07
748,4.9238e-06,7.45989e-07,4.67914e-07
749,4.92924e-06,7.46328e-07,4.68625e-07
750,4.93333e-06,7.45333e-07,4.68e-07
751,4.93875e-06,7.45672e-07,4.67377e-07
752,4.94282e-06,7.46011e-07,4.68085e-07
753,4.94821e-06,7.4502e-07,4.67463e-07
754,4.95225e-06,7.45358e-07,4.6817e-07
755,4.95762e-06,7.45695e-07,4.6755e-07
756,4.96164e-06,7.44709e-07,4.68254e-07
757,4.96697e-06,7.45046e-07,4.67635e-07
758,4.9723e-06,7.44063e-07,4.67018e-07
759,4.97628e-06,7.44401e-07,4.67721e-07
760,4.98158e-06,7.44737e-07,4.67105e-07
761,4.98555e-06,7.43758e-07,4.67806e-07
762,4.99081e-06,7.44094e-07,4.67192e-07
763,4.99607e-06,7.43119e-07,4.6789e-07
764,5e-06,7.43455e-07,4.67277e-07
765,5.00523e-06,7.43791e-07,4.67974e-07
766,5.01044e-06,7.4282e-07,4.67363e-07
767,5.01434e-06,7.43155e-07,4.66754e-07
768,5.01953e-06,7.4349e-07,4.67448e-07
769,5.02471e-06,7.42523e-07,4.6684e-07
770,5.02857e-06,7.42857e-07,4.67532e-07
771,5.03372e-06,7.43191e-07,4.66926e-07
772,5.03886e-06,7.42228e-07,4.67617e-07
773,5.04398e-06,7.42561e-07,4.67012e-07
774,5.0491e-06,7.41602e-07,4.66408e-07
775,5.0529e-06,7.41935e-07,4.67097e-07
776,5.05799e-06,7.42268e-07,4.66495e-07
777,5.06306e-06,7.426e-07,4.67181e-07
778,5.06812e-06,7.41645e-07,4.66581e-07
779,5.07189e-06,7.41977e-07,4.67266e-07
780,5.07692e-06,7.42308e-07,4.66667e-07
781,5.08195e-06,7.41357e-07,4.66069e-07
782,5.08951e-06,7.41688e-07,4.66752e-07
783,5.09451e-06,7.40741e-07,4.66156e-07
784,5.09949e-06,7.41071e-07,4.66837e-07
785,5.10446e-06,7.41401e-07,4.66242e-07
786,5.10814e-06,7.40458e-07,4.66921e-07
787,5.11309e-06,7.40788e-07,4.66328e-07
788,5.11802e-06,7.39848e-07,4.67005e-07
789,5.12294e-06,7.40177e-07,4.66413e-07
790,5.12785e-06,7.40506e-07,4.65823e-07
791,5.13274e-06,7.3957e-07,4.66498e-07
792,5.13636e-06,7.39899e-07,4.65909e-07
793,5.14124e-06,7.40227e-07,4.66583e-07
794,5.1461e-06,7.39295e-07,4.65995e-07
795,5.15094e-06,7.39623e-07,4.66667e-07
796,5.15578e-06,7.3995e-07,4.6608e-07
797,5.1606e-06,7.39021e-07,4.6675e-07
798,5.16541e-06,7.39348e-07,4.66165e-07
799,5.17021e-06,7.39675e-07,4.65582e-07
800,5.17375e-06,7.3875e-07,4.6625e-07
801,5.17853e-06,7.39076e-07,4.65668e-07
802,5.18329e-06,7.43142e-07,4.68828e-07
803,5.18804e-06,7.42217e-07,4.69489e-07
804,5.19279e-06,7.42537e-07,4.68905e-07
805,5.19752e-06,7.42857e-07,4.69565e-07
806,5.20223e-06,7.41935e-07,4.68983e-07
807,5.20694e-06,7.42255e-07,4.68401e-07
808,5.21163e-06,7.42574e-07,4.69059e-07
809,5.21632e-06,7.41656e-07,4.6848e-07
810,5.22099e-06,7.41975e-07,4.69136e-07
811,5.22565e-06,7.42293e-07,4.68557e-07
812,5.2303e-06,7.41379e-07,4.69212e-07
813,5.23493e-06,7.41697e-07,4.68635e-07
814,5.23956e-06,7.42015e-07,4.68059e-07
815,5.24417e-06,7.41104e-07,4.68712e-07
816,5.24877e-06,7.41422e-07,4.68137e-07
817,5.25337e-06,7.40514e-07,4.68788e-07
818,5.25795e-06,7.40831e-07,4.68215e-07
819,5.26252e-06,7.41148e-07,4.68864e-07
820,5.26707e-06,7.40244e-07,4.68293e-07
821,5.27162e-06,7.4056e-07,4.6894e-07
822,5.27616e-06,7.40876e-07,4.6837e-07
823,5.2819e-06,7.39976e-07,4.67801e-07
824,5.28641e-06,7.40291e-07,4.68447e-07
825,5.29091e-06,7.40606e-07,4.67879e-07
826,5.2954e-06,7.39709e-07,4.68523e-07
827,5.29988e-06,7.40024e-07,4.67956e-07
828,5.30435e-06,7.40338e-07,4.68599e-07
829,5.31001e-06,7.39445e-07,4.68034e-07
830,5.31446e-06,7.39759e-07,4.6747e-07
831,5.31889e-06,7.40072e-07,4.68111e-07
832,5.32332e-06,7.39183e-07,4.67548e-07
833,5.32893e-06,7.39496e-07,4.68187e-07
834,5.33333e-06,7.39808e-07,4.67626e-07
835,5.33772e-06,7.38922e-07,4.68263e-07
836,5.34211e-06,7.39234e-07,4.67703e-07
837,5.34767e-06,7.38351e-07,4.67145e-07
838,5.35203e-06,7.38663e-07,4.6778e-07
839,5.35638e-06,7.38975e-07,4.67223e-07
840,5.3619e-06,7.38095e-07,4.67857e-07
841,5.36623e-06,7.38407e-07,4.67301e-07
842,5.37055e-06,7.38717e-07,4.67933e-07
843,5.37604e-06,7.37841e-07,4.67378e-07
844,5.38033e-06,7.38152e-07,4.66825e-07
845,5.38462e-06,7.38462e-07,4.67456e-07
846,5.39007e-06,7.37589e-07,4.66903e-07
847,5.39433e-06,7.37898e-07,4.67532e-07
848,5.39976e-06,7.38208e-07,4.66981e-07
849,5.404e-06,7.37338e-07,4.67609e-07
850,5.40824e-06,7.37647e-07,4.67059e-07
851,5.41363e-06,7.3678e-07,4.6651e-07
852,5.41784e-06,7.37089e-07,4.67136e-07
853,5.42321e-06,7.37397e-07,4.66589e-07
854,5.4274e-06,7.36534e-07,4.67213e-07
855,5.43275e-06,7.36842e-07,4.66667e-07
856,5.43692e-06,7.3715e-07,4.6729e-07
857,5.44224e-06,7.36289e-07,4.66744e-07
858,5.44639e-06,7.36597e-07,4.67366e-07
859,5.45169e-06,7.36903e-07,4.66822e-07
860,5.45581e-06,7.36047e-07,4.66279e-07
861,5.46109e-06,7.36353e-07,4.66899e-07
862,5.4652e-06,7.36659e-07,4.66357e-07
863,5.47045e-06,7.35805e-07,4.66976e-07
864,5.47454e-06,7.36111e-07,4.66435e-07
865,5.47977e-06,7.36416e-07,4.67052e-07
866,5.48499e-06,7.35566e-07,4.66513e-07
867,5.48904e-06,7.35871e-07,4.65975e-07
868,5.49424e-06,7.36175e-07,4.6659e-07
869,5.49827e-06,7.35328e-07,4.66053e-07
870,5.50345e-06,7.35632e-07,4.66667e-07
871,5.50861e-06,7.35936e-07,4.66131e-07
872,5.51261e-06,7.35092e-07,4.66743e-07
873,5.51775e-06,7.35395e-07,4.66208e-07
874,5.52288e-06,7.35698e-07,4.65675e-07
875,5.52686e-06,7.34857e-07,4.66286e-07
876,5.53196e-06,7.3516e-07,4.65753e-07
877,5.53706e-06,7.35462e-07,4.66363e-07
878,5.54214e-06,7.34624e-07,4.65831e-07
879,5.54608e-06,7.34926e-07,4.66439e-07
880,5.55114e-06,7.35227e-07,4.65909e-07
881,5.55619e-06,7.34393e-07,4.6538e-07
882,5.56122e-06,7.34694e-07,4.65986e-07
883,5.56512e-06,7.33862e-07,4.65459e-07
884,5.57014e-06,7.34163e-07,4.66063e-07
885,5.57514e-06,7.34463e-07,4.65537e-07
886,5.58014e-06,7.33634e-07,4.6614e-07
887,5.58512e-06,7.33935e-07,4.65614e-07
888,5.58896e-06,7.34234e-07,4.6509e-07
889,5.59393e-06,7.33408e-07,4.65692e-07
890,5.59888e-06,7.33708e-07,4.65169e-07
891,5.60382e-06,7.34007e-07,4.65769e-07
892,5.60874e-06,7.34305e-07,4.65247e-07
893,5.61366e-06,7.33483e-07,4.65845e-07
894,5.61857e-06,7.33781e-07,4.65324e-07
895,5.62346e-06,7.34078e-07,4.64804e-07
896,5.62723e-06,7.33259e-07,4.65402e-07
897,5.63211e-06,7.33556e-07,4.64883e-07
898,5.63697e-06,7.33853e-07,4.65479e-07
899,5.64182e-06,7.33037e-07,4.64961e-07
900,5.64667e-06,7.33333e-07,4.65556e-07
901,5.6515e-06,7.33629e-07,4.65039e-07
902,5.65632e-06,7.32816e-07,4.64523e-07
903,5.66113e-06,7.33112e-07,4.65116e-07
904,5.66593e-06,7.33407e-07,4.64602e-07
905,5.67072e-06,7.32597e-07,4.65193e-07
906,5.6755e-06,7.32892e-07,4.6468e-07
907,5.68026e-06,7.33186e-07,4.6527e-07
908,5.68502e-06,7.32379e-07,4.64758e-07
909,5.68977e-06,7.32673e-07,4.64246e-07
910,5.6956e-06,7.32967e-07,4.64835e-07
911,5.70033e-06,7.32162e-07,4.64325e-07
912,5.70504e-06,7.32456e-07,4.64912e-07
913,5.70975e-06,7.32749e-07,4.64403e-07
914,5.71444e-06,7.31947e-07,4.64989e-07
915,5.71913e-06,7.3224e-07,4.64481e-07
916,5.7238e-06,7.32533e-07,4.65066e-07
917,5.72846e-06,7.31734e-07,4.64558e-07
918,5.73312e-06,7.32026e-07,4.64052e-07
919,5.73885e-06,7.32318e-07,4.64635e-07
920,5.74348e-06,7.31522e-07,4.6413e-07
921,5.7481e-06,7.31813e-07,4.64712e-07
922,5.75271e-06,7.3102e-07,4.64208e-07
923,5.75731e-06,7.31311e-07,4.64789e-07
924,5.76299e-06,7.31602e-07,4.64286e-07
925,5.76757e-06,7.30811e-07,4.63784e-07
926,5.77214e-06,7.31102e-07,4.64363e-07
927,5.7767e-06,7.31392e-07,4.63862e-07
928,5.78233e-06,7.30603e-07,4.6444e-07
929,5.78687e-06,7.30893e-07,4.6394e-07
930,5.7914e-06,7.31183e-07,4.64516e-07
931,5.79592e-06,7.31472e-07,4.64017e-07
932,5.8015e-06,7.30687e-07,4.63519e-07
933,5.806e-06,7.30975e-07,4.64094e-07
934,5.81049e-06,7.31263e-07,4.63597e-07
935,5.81604e-06,7.30481e-07,4.64171e-07
936,5.82051e-06,7.30769e-07,4.63675e-07
937,5.82497e-06,7.29989e-07,4.64248e-07
938,5.83049e-06,7.30277e-07,4.63753e-07
939,5.83493e-06,7.30564e-07,4.64324e-07
940,5.84043e-06,7.29787e-07,4.6383e-07
941,5.84485e-06,7.30074e-07,4.63337e-07
942,5.84926e-06,7.30361e-07,4.63907e-07
943,5.85472e-06,7.29586e-07,4.63415e-07
944,5.85911e-06,7.29873e-07,4.63983e-07
945,5.86455e-06,7.30159e-07,4.63492e-07
946,5.86892e-06,7.29387e-07,4.64059e-07
947,5.87434e-06,7.29673e-07,4.63569e-07
948,5.87869e-06,7.29958e-07,4.6308e-07
949,5.88409e-06,7.29189e-07,4.63646e-07
950,5.88842e-06,7.29474e-07,4.63158e-07
951,5.8938e-06,7.29758e-07,4.63722e-07
952,5.89811e-06,7.28992e-07,4.63235e-07
953,5.90241e-06,7.29276e-07,4.63799e-07
954,5.90671e-06,7.2956e-07,4.63312e-07
955,5.91204e-06,7.28796e-07,4.62827e-07
956,5.91632e-06,7.29079e-07,4.63389e-07
957,5.92163e-06,7.29363e-07,4.62905e-07
958,5.92693e-06,7.28601e-07,4.63466e-07
959,5.93118e-06,7.28884e-07,4.62982e-07
960,5.93646e-06,7.29167e-07,4.63542e-07
961,5.94069e-06,7.28408e-07,4.63059e-07
962,5.94595e-06,7.2869e-07,4.62578e-07
963,5.95119e-06,7.28972e-07,4.63136e-07
964,5.95539e-06,7.28216e-07,4.62656e-07
965,5.96062e-06,7.28497e-07,4.63212e-07
966,5.96584e-06,7.28778e-07,4.62733e-07
967,5.97001e-06,7.28025e-07,4.63289e-07
968,5.97521e-06,7.28306e-07,4.6281e-07
969,5.98039e-06,7.27554e-07,4.63364e-07
970,5.98557e-06,7.27835e-07,4.62887e-07
971,5.9897e-06,7.28115e-07,4.6241e-07
972,5.99486e-06,7.27366e-07,4.62963e-07
973,6e-06,7.27646e-07,4.62487e-07
974,6.00411e-06,7.27926e-07,4.63039e-07
975,6.00923e-06,7.31282e-07,4.62564e-07
976,6.01434e-06,7.31557e-07,4.63115e-07
977,6.01945e-06,7.30809e-07,4.62641e-07
978,6.02454e-06,7.31084e-07,4.62168e-07
979,6.0286e-06,7.31359e-07,4.62717e-07
980,6.03367e-06,7.30612e-07,4.62245e-07
981,6.03874e-06,7.30887e-07,4.62793e-07
982,6.04379e-06,7.31161e-07,4.62322e-07
983,6.04883e-06,7.30417e-07,4.62869e-07
984,6.05386e-06,7.30691e-07,4.62398e-07
985,6.05787e-06,7.30964e-07,4.61929e-07
986,6.06288e-06,7.30223e-07,4.62475e-07
987,6.06788e-06,7.30496e-07,4.62006e-07
988,6.07287e-06,7.30769e-07,4.62551e-07
989,6.07786e-06,7.3003e-07,4.62083e-07
990,6.08283e-06,7.30303e-07,4.62626e-07
991,6.08779e-06,7.30575e-07,4.62159e-07
992,6.09274e-06,7.29839e-07,4.62702e-07
993,6.09768e-06,7.30111e-07,4.62236e-07
994,6.10563e-06,7.30382e-07,4.61771e-07
995,6.11055e-06,7.30653e-07,4.62312e-07
996,6.11546e-06,7.2992e-07,4.61847e-07
997,6.12036e-06,7.30191e-07,4.62387e-07
998,6.12525e-06,7.29459e-07,4.61924e-07
999,6.13013e-06,7.2973e-07,4.62462e-07
1000,6.135e-06,7.3e-07,4.62e-07
>>>>>>> 99c787f776abd45787cd397866ec826e8a9a8f69
